                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.33726,                0.27456,                0.82949,                0.99747,                0.95157,                0.97022,                0.85413,                0.29202,                0.43725,                0.49906,             0.00018575,             0.00018575,             0.00018575
                     88,                0.30463,                0.25328,                0.80489,                 0.9971,                0.76333,                0.85718,                0.78289,                0.27773,                0.42645,                0.49686,             0.00017338,             0.00017338,             0.00017338
                     89,                0.29373,                 0.2446,                0.80355,                 0.9989,                0.92214,                0.95325,                0.87181,                0.28514,                0.42823,                0.49762,               0.000161,               0.000161,               0.000161
                     90,                0.30147,                0.24997,                0.82562,                0.99896,                0.91127,                0.94851,                0.87086,                0.29425,                0.43688,                0.49907,             0.00014862,             0.00014862,             0.00014862
                     91,                0.33746,                 0.2584,                0.81249,                0.99742,                0.74289,                0.84789,                0.78511,                0.28328,                0.43427,                0.49845,             0.00013625,             0.00013625,             0.00013625
                     92,                0.30445,                0.24059,                0.79327,                0.99789,                0.88953,                0.93483,                0.86639,                0.25202,                0.42483,                0.49571,             0.00012387,             0.00012387,             0.00012387
                     93,                0.27595,                0.23135,                0.76715,                0.99804,                0.89061,                0.93404,                0.87134,                0.24939,                0.41123,                 0.4954,              0.0001115,              0.0001115,              0.0001115
                     94,                0.28227,                0.22589,                0.79948,                0.99787,                0.82626,                0.89386,                0.82948,                  0.273,                0.41561,                 0.4972,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.29349,                0.23137,                 0.7999,                0.99643,                0.49436,                0.70584,                 0.6581,                0.27234,                0.41533,                0.49704,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.27475,                0.21641,                 0.7873,                0.99781,                0.71785,                0.82827,                0.76793,                0.25076,                0.41033,                0.49452,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.26556,                0.22395,                0.77754,                0.99647,                0.51633,                0.69743,                0.64402,                 0.2411,                 0.4072,                0.49351,                6.2e-05,                6.2e-05,                6.2e-05
